epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,77.63860639929771,0.8476663285994326,0.3640006451673194,0.0,0.0014167873837496242,1727748155,,False,1,1ca7a131,2024-10-01_02-02-35,1.0364799499511719,1.0364799499511719,11336,53f2743d91cf,172.17.0.2,1.0364799499511719,1
1,62.156518161296844,0.8495853479038071,0.36641513776205453,0.0,0.0014167873837496242,1727748155,,False,2,1ca7a131,2024-10-01_02-02-35,0.35552549362182617,1.392005443572998,11336,53f2743d91cf,172.17.0.2,1.392005443572998,2
2,61.026684410870075,0.8543876937130048,0.3796201400611805,0.0,0.0014167873837496242,1727748156,,False,3,1ca7a131,2024-10-01_02-02-36,0.4032168388366699,1.795222282409668,11336,53f2743d91cf,172.17.0.2,1.795222282409668,3
3,60.43034765124321,0.8538091093927359,0.3817418838214858,0.0,0.0014167873837496242,1727748156,,False,4,1ca7a131,2024-10-01_02-02-36,0.4540417194366455,2.2492640018463135,11336,53f2743d91cf,172.17.0.2,2.2492640018463135,4
4,60.09715484082699,0.8530031212848985,0.37742292459433513,0.0,0.0002608612759577849,1727748157,,False,5,1ca7a131,2024-10-01_02-02-37,0.42476773262023926,2.6740317344665527,11336,53f2743d91cf,172.17.0.2,2.6740317344665527,5
5,58.03428189456463,0.8551073259521454,0.3852487816000807,0.0,0.0002608612759577849,1727748157,,False,6,1ca7a131,2024-10-01_02-02-37,0.3904438018798828,3.0644755363464355,11336,53f2743d91cf,172.17.0.2,3.0644755363464355,6
6,57.61960142105818,0.8548357847205764,0.3860477151976135,0.0,0.0002608612759577849,1727748158,,False,7,1ca7a131,2024-10-01_02-02-38,0.3823106288909912,3.4467861652374268,11336,53f2743d91cf,172.17.0.2,3.4467861652374268,7
7,57.21379788964987,0.8555659715658909,0.3889490067310619,0.0,0.0002608612759577849,1727748158,,False,8,1ca7a131,2024-10-01_02-02-38,0.3598902225494385,3.8066763877868652,11336,53f2743d91cf,172.17.0.2,3.8066763877868652,8
8,57.06504090875387,0.8547762951221408,0.38573924575111035,0.0,0.0002608612759577849,1727748158,,False,9,1ca7a131,2024-10-01_02-02-38,0.3708064556121826,4.177482843399048,11336,53f2743d91cf,172.17.0.2,4.177482843399048,9
9,56.77118522673845,0.8550881357591016,0.38815594345526183,0.0,4.8030216865870415e-05,1727748159,,False,10,1ca7a131,2024-10-01_02-02-39,0.364915132522583,4.542397975921631,11336,53f2743d91cf,172.17.0.2,4.542397975921631,10
10,56.157763838768005,0.85491638353136,0.38774680233061015,0.0,4.8030216865870415e-05,1727748159,,False,11,1ca7a131,2024-10-01_02-02-39,0.3861205577850342,4.928518533706665,11336,53f2743d91cf,172.17.0.2,4.928518533706665,11
11,55.99327649176121,0.8549298166664907,0.3882845855213819,0.0,4.8030216865870415e-05,1727748159,,False,12,1ca7a131,2024-10-01_02-02-39,0.3857138156890869,5.314232349395752,11336,53f2743d91cf,172.17.0.2,5.314232349395752,12
12,56.00163867324591,0.8548501773653592,0.38804384886054594,0.0,4.8030216865870415e-05,1727748160,,False,13,1ca7a131,2024-10-01_02-02-40,0.38303351402282715,5.697265863418579,11336,53f2743d91cf,172.17.0.2,5.697265863418579,13
13,56.10203564912081,0.8546813036665742,0.3879993439852353,0.0,4.8030216865870415e-05,1727748160,,False,14,1ca7a131,2024-10-01_02-02-40,0.39083409309387207,6.088099956512451,11336,53f2743d91cf,172.17.0.2,6.088099956512451,14
14,55.90203830599785,0.8545719195662248,0.387712926124295,0.0,8.843404310250586e-06,1727748161,,False,15,1ca7a131,2024-10-01_02-02-41,0.3890564441680908,6.477156400680542,11336,53f2743d91cf,172.17.0.2,6.477156400680542,15
15,55.707310162484646,0.8545450532959635,0.3877458135369051,0.0049382716049382715,8.843404310250586e-06,1727748161,,False,16,1ca7a131,2024-10-01_02-02-41,0.37824249267578125,6.855398893356323,11336,53f2743d91cf,172.17.0.2,6.855398893356323,16
16,55.832505606114864,0.8545546483924854,0.3878244545888658,0.009828009828009828,8.843404310250586e-06,1727748161,,False,17,1ca7a131,2024-10-01_02-02-41,0.36679840087890625,7.2221972942352295,11336,53f2743d91cf,172.17.0.2,7.2221972942352295,17
17,55.81106476485729,0.8545661625083116,0.3880035738320928,0.009828009828009828,8.843404310250586e-06,1727748162,,False,18,1ca7a131,2024-10-01_02-02-42,0.3711233139038086,7.593320608139038,11336,53f2743d91cf,172.17.0.2,7.593320608139038,18
18,55.65431768447161,0.8545460128056157,0.38791135003729155,0.009828009828009828,8.843404310250586e-06,1727748162,,False,19,1ca7a131,2024-10-01_02-02-42,0.3800199031829834,7.9733405113220215,11336,53f2743d91cf,172.17.0.2,7.9733405113220215,19
19,55.88577777147293,0.8545738385855293,0.3881092767386339,0.009828009828009828,1.628262475119711e-06,1727748162,,False,20,1ca7a131,2024-10-01_02-02-42,0.3906700611114502,8.364010572433472,11336,53f2743d91cf,172.17.0.2,8.364010572433472,20
